,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
14,26,56,0.317,33.0,96.2,101.0,-4.72,2010,Washington Wizards
0,53,29,0.646,—,106.5,102.4,4.15,2010,Denver Nuggets*
1,53,29,0.646,—,104.2,98.9,5.33,2010,Utah Jazz*
2,50,32,0.61,3.0,98.1,94.8,3.18,2010,Portland Trail Blazers*
3,50,32,0.61,3.0,101.5,98.0,3.55,2010,Oklahoma City Thunder*
4,15,67,0.183,38.0,98.2,107.8,-9.06,2010,Minnesota Timberwolves
5,57,25,0.695,—,101.7,97.0,4.78,2010,Los Angeles Lakers*
6,54,28,0.659,3.0,110.2,105.3,4.67,2010,Phoenix Suns*
7,29,53,0.354,28.0,95.7,102.1,-6.01,2010,Los Angeles Clippers
8,26,56,0.317,31.0,108.8,112.4,-3.28,2010,Golden State Warriors
9,25,57,0.305,32.0,100.0,104.4,-4.06,2010,Sacramento Kings
10,55,27,0.671,—,102.0,99.3,2.66,2010,Dallas Mavericks*
11,50,32,0.61,5.0,101.4,96.3,5.07,2010,San Antonio Spurs*
12,42,40,0.512,13.0,102.4,102.7,-0.02,2010,Houston Rockets
13,40,42,0.488,15.0,102.5,104.0,-1.39,2010,Memphis Grizzlies
14,37,45,0.451,18.0,100.2,102.7,-2.27,2010,New Orleans Hornets
0,56,26,0.683,—,96.5,91.1,4.83,2011,Boston Celtics*
1,42,40,0.512,14.0,106.5,105.7,0.48,2011,New York Knicks*
2,41,41,0.5,15.0,99.0,97.5,1.01,2011,Philadelphia 76ers*
3,24,58,0.293,32.0,94.2,100.4,-6.28,2011,New Jersey Nets
4,22,60,0.268,34.0,99.1,105.4,-6.28,2011,Toronto Raptors
5,62,20,0.756,—,98.6,91.3,6.53,2011,Chicago Bulls*
6,37,45,0.451,25.0,99.8,100.9,-1.38,2011,Indiana Pacers*
7,35,47,0.427,27.0,91.9,92.7,-1.02,2011,Milwaukee Bucks
